carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5f58f604f7be2c07e8d727c9,6839af932bba99d40743ed21,"127 N Railroad St, Norman Park, GA 31771, USA",DELIVERLOAD,True,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
5f58f604f7be2c07e8d727c9,67fd32575f99fdeec9c40f35,"140 SOMERSET CHURCH RD, ROXBORO, NC 27573",DROPCONTAINER,False,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
5f58f604f7be2c07e8d727c9,689501deb7a4d0b7e7d834d6,"1669 Longwood Rd, Columbia, SC",DELIVERLOAD,True,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
5f58f604f7be2c07e8d727c9,68b88e57aabb9800866814de,1Vision - Millsview,DELIVERLOAD,True,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
5f58f604f7be2c07e8d727c9,658c4bd304bc33164dac6d67,3560 Richmond - Ferguson Waterworks,DELIVERLOAD,False,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
5f58f604f7be2c07e8d727c9,658c4bd304bc33164dac6d67,3560 Richmond - Ferguson Waterworks,DELIVERLOAD,True,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
5f58f604f7be2c07e8d727c9,68713cca09356495e564fe50,4980 Millennium Dr,DELIVERLOAD,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
5f58f604f7be2c07e8d727c9,68713cca09356495e564fe50,4980 Millennium Dr,DELIVERLOAD,True,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
5f58f604f7be2c07e8d727c9,610d58c440f12961f1fd365f,5149 THE HOME DEPOT,DELIVERLOAD,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
5f58f604f7be2c07e8d727c9,65ca72eddb01a33ca2d31a24,531 Northridge,DELIVERLOAD,False,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
5f58f604f7be2c07e8d727c9,65788b6723c690163f0b9f96,"635 King St, Reidsville NC 27320",DELIVERLOAD,False,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
5f58f604f7be2c07e8d727c9,5f58fb37d8f69308549b9f50,635 Secure Yard,HOOKCONTAINER,False,49,16,49,49,36,49,191,30,14,61,56,8,49,51,47,45,153,79,17,104,26,49,58,48,40
