carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
60196e05993170084efd0f4d,6724e91833ff32f44a6d4bb9,1000340604 ONTARIO INC,DELIVERLOAD,False,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
60196e05993170084efd0f4d,6724e91833ff32f44a6d4bb9,1000340604 ONTARIO INC,HOOKCONTAINER,False,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
60196e05993170084efd0f4d,64f732ff69c90816509edd3e,1000507850 ONTARIO INC,DELIVERLOAD,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
60196e05993170084efd0f4d,64f732ff69c90816509edd3e,1000507850 ONTARIO INC,HOOKCONTAINER,False,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
60196e05993170084efd0f4d,67d1ecd2f96bbe27c6882196,1263591 ONTARIO LIMITED,DELIVERLOAD,False,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
60196e05993170084efd0f4d,67d1ecd2f96bbe27c6882196,1263591 ONTARIO LIMITED,HOOKCONTAINER,False,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
60196e05993170084efd0f4d,626a6bd60be23a1e182f1c09,1469985 Ontario Inc unit 2-3,DELIVERLOAD,False,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
60196e05993170084efd0f4d,626a6bd60be23a1e182f1c09,1469985 Ontario Inc unit 2-3,HOOKCONTAINER,False,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
60196e05993170084efd0f4d,66bcb474a8db6610a326a519,15848181 CANADA INC,DELIVERLOAD,False,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
60196e05993170084efd0f4d,66bcb474a8db6610a326a519,15848181 CANADA INC,HOOKCONTAINER,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
