carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
60747b8448cb687a0f377e82,60d5113881803630c61cdd9e,3 RIVERS,RETURNCONTAINER,False,20,20,20,20,20,20,20,20,20,119,37,18,14,14,32,26,46,23,2,5,20,20,20,20,20
60747b8448cb687a0f377e82,67c89161a4db9dce6d9c536d,A1 DULLES,DELIVERLOAD,False,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
60747b8448cb687a0f377e82,67c89161a4db9dce6d9c536d,A1 DULLES,HOOKCONTAINER,False,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
60747b8448cb687a0f377e82,6810de732dccde2df8f5eed8,ACE RELOCATION,DELIVERLOAD,False,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
60747b8448cb687a0f377e82,6810de732dccde2df8f5eed8,ACE RELOCATION,HOOKCONTAINER,False,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
60747b8448cb687a0f377e82,6685982bbfcc2b8daaa1cf4f,ACT2,DELIVERLOAD,False,15,12,18,11,11,9,15,15,15,15,15,15,10,18,19,13,11,13,18,24,16,13,10,15,24
60747b8448cb687a0f377e82,6685982bbfcc2b8daaa1cf4f,ACT2,HOOKCONTAINER,False,17,14,10,7,12,17,17,17,98,16,25,17,17,22,18,14,10,24,17,17,22,28,25,22,8
60747b8448cb687a0f377e82,6807b407ba4dfdca3521dc6c,"ADP Express 19021 S Reyes Ave, POL88, Compton, CA 90221",DELIVERLOAD,False,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
60747b8448cb687a0f377e82,6807b407ba4dfdca3521dc6c,"ADP Express 19021 S Reyes Ave, POL88, Compton, CA 90221",DELIVERLOAD,True,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
60747b8448cb687a0f377e82,6807b407ba4dfdca3521dc6c,"ADP Express 19021 S Reyes Ave, POL88, Compton, CA 90221",HOOKCONTAINER,False,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
60747b8448cb687a0f377e82,66c4c35b5bf710bb3a85823a,ALC CONTAINER/CHASSIS ONLY,HOOKCONTAINER,False,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
60747b8448cb687a0f377e82,66c4c35b5bf710bb3a85823a,ALC CONTAINER/CHASSIS ONLY,PULLCONTAINER,False,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
60747b8448cb687a0f377e82,67999fd6e848037c41cf2c55,ALC Long Beach,DELIVERLOAD,False,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
60747b8448cb687a0f377e82,67999fd6e848037c41cf2c55,ALC Long Beach,HOOKCONTAINER,False,14,15,14,12,14,7,11,14,17,21,13,12,12,20,16,13,19,12,10,19,14,17,13,6,8
60747b8448cb687a0f377e82,67999fd6e848037c41cf2c55,ALC Long Beach,RETURNCONTAINER,False,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
60747b8448cb687a0f377e82,66c4c33be093dbfe7de42090,ALC TRUCKS ONLY,DELIVERLOAD,False,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
60747b8448cb687a0f377e82,66c4c33be093dbfe7de42090,ALC TRUCKS ONLY,HOOKCONTAINER,False,15,15,15,15,15,15,15,15,32,15,15,15,7,15,30,12,18,15,15,15,15,9,10,15,15
60747b8448cb687a0f377e82,60747e0d012f5a2eccf34077,ALLIED,DELIVERLOAD,False,20,20,20,20,20,20,20,20,20,23,10,31,33,20,13,20,14,10,20,20,20,20,20,20,20
60747b8448cb687a0f377e82,60747e0d012f5a2eccf34077,ALLIED,DELIVERLOAD,True,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
60747b8448cb687a0f377e82,60747e0d012f5a2eccf34077,ALLIED,HOOKCONTAINER,False,42,42,42,42,42,42,42,42,42,42,42,42,42,21,144,106,7,42,42,42,42,42,42,42,42
60747b8448cb687a0f377e82,67588dfc8992e9ae34d621c9,All-Ways Pacific / Miworld,DELIVERLOAD,True,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
60747b8448cb687a0f377e82,67927113d7dd695876acad39,ALS WEST COAST AEC,DELIVERLOAD,True,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
60747b8448cb687a0f377e82,6074813d46d3b418312f0db1,AMERICAN FOOD INGREDIENTS INC,DELIVERLOAD,False,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
60747b8448cb687a0f377e82,6074813d46d3b418312f0db1,AMERICAN FOOD INGREDIENTS INC,DELIVERLOAD,True,166,166,166,166,166,166,166,166,166,139,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
60747b8448cb687a0f377e82,67195551a0825f2b5e58d180,AM HOME DELIVERY&TRUCKING,DELIVERLOAD,True,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,123,83,87,87,87,87,87,87,87,87
60747b8448cb687a0f377e82,6723ff45d76fb63ca6ebc5ee,AM HOME DELIVERY&TRUCKING#2,DELIVERLOAD,False,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
60747b8448cb687a0f377e82,6723ff45d76fb63ca6ebc5ee,AM HOME DELIVERY&TRUCKING#2,DELIVERLOAD,True,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
60747b8448cb687a0f377e82,611438056acba153d3c3be73,APM TERMINAL,CHASSISTERMINATION,False,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
60747b8448cb687a0f377e82,611438056acba153d3c3be73,APM TERMINAL,HOOKCONTAINER,False,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
60747b8448cb687a0f377e82,611438056acba153d3c3be73,APM TERMINAL,PULLCONTAINER,False,40,42,40,41,21,57,49,45,42,30,41,45,41,32,36,31,34,36,22,64,44,37,36,31,36
60747b8448cb687a0f377e82,611438056acba153d3c3be73,APM TERMINAL,RETURNCONTAINER,False,43,50,35,41,44,35,43,19,25,32,40,39,56,39,52,43,47,37,32,28,37,44,60,65,52
60747b8448cb687a0f377e82,67c7345606fd6b289a7207cc,Ashtel Studios,DELIVERLOAD,True,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
60747b8448cb687a0f377e82,615dd0e50401dc156168c1eb,ATSI,RETURNCONTAINER,False,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
60747b8448cb687a0f377e82,63457f33d2370a15bccc9ecd,ATSI,RETURNCONTAINER,False,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
60747b8448cb687a0f377e82,635c01031c732715c7c969c0,ATSI,RETURNCONTAINER,False,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
60747b8448cb687a0f377e82,67a0d8225c97ca11a06d0c2d,AT&T,DELIVERLOAD,True,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
60747b8448cb687a0f377e82,67abd88bb01514de2746753b,AUSTIN HOSE,DELIVERLOAD,True,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
60747b8448cb687a0f377e82,66fdc59fa11a0adfa54a8752,Becker Specialty Group,DELIVERLOAD,True,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
60747b8448cb687a0f377e82,6800489c55844987425982ed,Bel Air #4,DELIVERLOAD,False,7,4,3,7,6,7,7,7,7,7,7,7,9,3,25,7,3,7,7,7,7,7,14,7,7
60747b8448cb687a0f377e82,6800489c55844987425982ed,Bel Air #4,HOOKCONTAINER,False,8,8,31,5,12,8,8,8,8,8,8,8,8,6,12,8,8,8,8,8,8,8,8,94,7
60747b8448cb687a0f377e82,6074813d46d3b418312f0dbb,BEL AIR LIGHTING,DELIVERLOAD,False,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,26
60747b8448cb687a0f377e82,6074813d46d3b418312f0dbb,BEL AIR LIGHTING,DELIVERLOAD,True,18,7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
60747b8448cb687a0f377e82,6074813d46d3b418312f0dbb,BEL AIR LIGHTING,HOOKCONTAINER,False,10,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,10,10,6
60747b8448cb687a0f377e82,675b10b9337d3275cf4d02e7,Bel Air Lighting #2,DELIVERLOAD,False,14,9,16,14,16,6,14,14,14,14,14,14,14,11,14,14,14,21,14,14,14,14,15,12,14
60747b8448cb687a0f377e82,675b10b9337d3275cf4d02e7,Bel Air Lighting #2,DELIVERLOAD,True,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
60747b8448cb687a0f377e82,675b10b9337d3275cf4d02e7,Bel Air Lighting #2,HOOKCONTAINER,False,9,9,2,9,12,9,9,9,9,9,9,9,9,9,17,9,9,9,9,9,9,9,47,5,9
60747b8448cb687a0f377e82,67d2eb74d8ddc2d80cf00397,Bel Air Rockefeller,DELIVERLOAD,False,9,9,9,9,9,9,9,9,9,9,9,9,9,9,45,9,9,9,9,9,9,9,4,36,9
60747b8448cb687a0f377e82,67d2eb74d8ddc2d80cf00397,Bel Air Rockefeller,HOOKCONTAINER,False,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,42,4,12
60747b8448cb687a0f377e82,6786c2690f2927e589b76d97,BELL STONE,DELIVERLOAD,True,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
60747b8448cb687a0f377e82,672154b316d6302def1d968b,BERGER ALLIED,DELIVERLOAD,True,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
60747b8448cb687a0f377e82,67d05119d3d5d360f65b17f1,Bissell- REDLANDS,DELIVERLOAD,False,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
60747b8448cb687a0f377e82,67d05119d3d5d360f65b17f1,Bissell- REDLANDS,HOOKCONTAINER,False,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
60747b8448cb687a0f377e82,67d333635cb5c29bd8652980,Bissell- REDLANDS,PULLCONTAINER,False,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
60747b8448cb687a0f377e82,66b51abf252c1e47485d8a9b,Black Mountain Warehouse,DELIVERLOAD,True,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
60747b8448cb687a0f377e82,67fd7b07b6ab62b13cf67775,BNSF - HOBART,RETURNCONTAINER,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
60747b8448cb687a0f377e82,60748240012f5a2eccf344a8,BNSF - Los Angeles,PULLCONTAINER,False,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
60747b8448cb687a0f377e82,60b7a08b6d80446665a73ade,BNSF - Sheila St,CHASSISPICK,False,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
60747b8448cb687a0f377e82,60b7a08b6d80446665a73ade,BNSF - Sheila St,PULLCONTAINER,False,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
60747b8448cb687a0f377e82,678570eeae880f911ac727ad,BRANDMARK USA/ c/o BERNING TIME,DELIVERLOAD,True,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
60747b8448cb687a0f377e82,60abddc48775c77aef772f86,CAL CARTAGE- exam site,DELIVERLOAD,False,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
60747b8448cb687a0f377e82,60abddc48775c77aef772f86,CAL CARTAGE- exam site,HOOKCONTAINER,False,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
60747b8448cb687a0f377e82,67781a72a14a9140a1206526,Calico Brands,DELIVERLOAD,False,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
60747b8448cb687a0f377e82,67781a72a14a9140a1206526,Calico Brands,DELIVERLOAD,True,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
60747b8448cb687a0f377e82,67781a72a14a9140a1206526,Calico Brands,HOOKCONTAINER,False,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
60747b8448cb687a0f377e82,68128afb8180d3a950731301,"CALIFORNIA IMPORT CENTER 355 W Carob St, Compton, CA 90220",DELIVERLOAD,False,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
60747b8448cb687a0f377e82,68128afb8180d3a950731301,"CALIFORNIA IMPORT CENTER 355 W Carob St, Compton, CA 90220",HOOKCONTAINER,False,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
60747b8448cb687a0f377e82,6476717b81a9d4165d1ddf17,CALIFORNIA RELOCATION SERVISE INC,DELIVERLOAD,False,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
60747b8448cb687a0f377e82,6476717b81a9d4165d1ddf17,CALIFORNIA RELOCATION SERVISE INC,HOOKCONTAINER,False,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
60747b8448cb687a0f377e82,67fe9e44b25886c3c5ae35a1,CALL DISPATCH!!!,CHASSISTERMINATION,False,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
60747b8448cb687a0f377e82,62196eb6ed42872f6e632d92,CAPTEK Softgel International,DELIVERLOAD,True,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
60747b8448cb687a0f377e82,67c628129218a5216a25a7b2,CARRUSEL SCHOOL UNIFORM,DELIVERLOAD,True,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
