carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
60819676ae88e5182fc02995,68b9cd44c95ebe336912b369,ABARROTES MIXTECA,DELIVERLOAD,False,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
60819676ae88e5182fc02995,68b9cd44c95ebe336912b369,ABARROTES MIXTECA,DELIVERLOAD,True,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
60819676ae88e5182fc02995,68ac86ba0ba19db956150c33,ACCEM WAREHOUSE INC,DELIVERLOAD,False,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
60819676ae88e5182fc02995,689a41aedf0ce453f2e0f92b,ACCUMED INC,DELIVERLOAD,False,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
60819676ae88e5182fc02995,63fd2745b052f815eae97312,ADI,DELIVERLOAD,False,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
60819676ae88e5182fc02995,64ac1c6d39cd381656aa1266,ADMIXTURE - FAIRLESS HILLS,DELIVERLOAD,False,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
60819676ae88e5182fc02995,639b60ec5faad815ff6582da,A DUIE / ARKEMA,DELIVERLOAD,False,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
60819676ae88e5182fc02995,68544bd64f4e9519feee5b0d,"ADVANCED DRAINAGE SYSTEMS, INC",DELIVERLOAD,False,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
60819676ae88e5182fc02995,6855aebae26e4925e699ff00,"ADVANCED DRAINAGE SYSTEMS, INC.",DELIVERLOAD,False,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
60819676ae88e5182fc02995,6855aebae26e4925e699ff00,"ADVANCED DRAINAGE SYSTEMS, INC.",DELIVERLOAD,True,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
