carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
61bc29302bc46a14d2c8d441,68012f7382e304ccf9691751,007 AIRSOFT - UNIT# 6,DELIVERLOAD,False,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
61bc29302bc46a14d2c8d441,68012f7382e304ccf9691751,007 AIRSOFT - UNIT# 6,HOOKCONTAINER,False,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
61bc29302bc46a14d2c8d441,632b4cc3ec88d315e77f3d23,1241719 ALBERTA LTD,DELIVERLOAD,False,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
61bc29302bc46a14d2c8d441,632b4cc3ec88d315e77f3d23,1241719 ALBERTA LTD,DELIVERLOAD,True,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
61bc29302bc46a14d2c8d441,68ac6fc107ee76d828276bf8,12541092 CANADA INC,DELIVERLOAD,False,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
61bc29302bc46a14d2c8d441,65e6226a4ce27671347e55cf,1273105 AB LTD O/A DECO RAILING  - DELIVERY,DELIVERLOAD,False,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
61bc29302bc46a14d2c8d441,65e6226a4ce27671347e55cf,1273105 AB LTD O/A DECO RAILING  - DELIVERY,HOOKCONTAINER,False,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
61bc29302bc46a14d2c8d441,65297e97a2c8e316423005b7,1310282 ALBERTA LTD CENTER FURNITURE,HOOKCONTAINER,False,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
61bc29302bc46a14d2c8d441,65d65b8772e0aea32e564164,1335092 ALBERTA LTD - DAVIES ROAD,DELIVERLOAD,False,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
61bc29302bc46a14d2c8d441,65d65b8772e0aea32e564164,1335092 ALBERTA LTD - DAVIES ROAD,HOOKCONTAINER,False,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
61bc29302bc46a14d2c8d441,661d8b6b1917e52b669a4d25,1-800-RADIATOR,DELIVERLOAD,False,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
61bc29302bc46a14d2c8d441,661d8b6b1917e52b669a4d25,1-800-RADIATOR,HOOKCONTAINER,False,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
61bc29302bc46a14d2c8d441,66f1b7836a88ac103bba2802,1-800 RADIATOR & AC,DELIVERLOAD,False,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
61bc29302bc46a14d2c8d441,66f1b7836a88ac103bba2802,1-800 RADIATOR & AC,HOOKCONTAINER,False,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
61bc29302bc46a14d2c8d441,662689d1b84e5adad2d4fd08,1862262 ALBERTA LTD - CONSIGNEE,DELIVERLOAD,True,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
61bc29302bc46a14d2c8d441,65cfc2992b2635133cabfca7,1876903 ALBERTA LTD #2 WIM DEKONING,DELIVERLOAD,False,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
61bc29302bc46a14d2c8d441,65cfc2992b2635133cabfca7,1876903 ALBERTA LTD #2 WIM DEKONING,DELIVERLOAD,True,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
61bc29302bc46a14d2c8d441,63c068679abc3315a0d3be68,18 WHEELS WAREHOUSE,DELIVERLOAD,False,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
61bc29302bc46a14d2c8d441,63c068679abc3315a0d3be68,18 WHEELS WAREHOUSE,HOOKCONTAINER,False,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
61bc29302bc46a14d2c8d441,633a488a61e39615da563cb1,21 CENTURY SEAFOOD,HOOKCONTAINER,False,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
61bc29302bc46a14d2c8d441,68812c80d5c981189c7121e2,21ST CENTURY ENTERTAINMENT,DELIVERLOAD,False,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
