carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
62f29f389c1eb71631eb621d,646cf8a0bbc0e81697e50e51,18 WHEELS,DELIVERLOAD,False,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
62f29f389c1eb71631eb621d,646cf8a0bbc0e81697e50e51,18 WHEELS,HOOKCONTAINER,False,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
62f29f389c1eb71631eb621d,65b9a00cb78ee66d68a731a8,Aeon distribution,DELIVERLOAD,False,38,38,38,38,38,38,38,38,38,38,30,61,38,43,28,11,38,38,38,38,38,38,38,38,38
62f29f389c1eb71631eb621d,65b9a00cb78ee66d68a731a8,Aeon distribution,HOOKCONTAINER,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,8,22,22,22,22,22,22,22,22,22
62f29f389c1eb71631eb621d,62fcfdf001b9e215557d994a,Aeon Logistics,DELIVERLOAD,False,24,24,24,24,24,24,24,24,24,24,21,24,14,32,26,24,24,24,24,24,24,24,24,24,24
62f29f389c1eb71631eb621d,62fcfdf001b9e215557d994a,Aeon Logistics,HOOKCONTAINER,False,22,22,22,22,22,22,22,22,22,22,22,22,22,22,48,22,22,22,22,14,22,22,22,22,22
62f29f389c1eb71631eb621d,688923139b2da3af7279c1ee,A Group Cargo,DELIVERLOAD,False,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
62f29f389c1eb71631eb621d,688923139b2da3af7279c1ee,A Group Cargo,HOOKCONTAINER,False,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
62f29f389c1eb71631eb621d,6334854b63537a15fe164c2b,Aheer Terminals,PULLCONTAINER,False,23,23,23,23,23,23,23,23,23,23,24,29,18,22,21,22,22,31,21,22,22,19,23,9,23
62f29f389c1eb71631eb621d,6334854b63537a15fe164c2b,Aheer Terminals,RETURNCONTAINER,False,16,16,16,16,16,16,16,16,16,16,16,17,12,12,15,17,13,20,17,24,15,6,16,16,16
