carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
6380eae07571e116566417d2,683a316efd64976aa25ef1ba,"100 Anderson Rd SE, Calgary, AB T2J 3V1(: Elham 7808022266)DAY CAB",DELIVERLOAD,False,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
6380eae07571e116566417d2,682e37cf8f787d5501fa1eef,"10231 184 Street NW, Edmonton, AB, T7X 2V9",DELIVERLOAD,False,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
6380eae07571e116566417d2,67f03b6b0756d2e9f6747091,10- 2626 Country Hills,DELIVERLOAD,False,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
6380eae07571e116566417d2,679976a9e0ce83fc7a5e6de7,# 112 -,DELIVERLOAD,True,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
6380eae07571e116566417d2,679ab8b15737d2bb06f62f63,112-1750 Coast Meridian Road,DELIVERLOAD,True,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
6380eae07571e116566417d2,686eb29bb8976b500198ffff,11305 184 ST,DELIVERLOAD,True,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
6380eae07571e116566417d2,68b22226540e3bb8b70806a1,115282 CANADA LTEE,DELIVERLOAD,True,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
6380eae07571e116566417d2,68b22226540e3bb8b70806a1,115282 CANADA LTEE,PULLCONTAINER,False,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
6380eae07571e116566417d2,66db656f851471fbbf89dccd,1182854 ALBERTA LTD. (AQUA BATH),DELIVERLOAD,False,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
6380eae07571e116566417d2,66db656f851471fbbf89dccd,1182854 ALBERTA LTD. (AQUA BATH),DELIVERLOAD,True,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
6380eae07571e116566417d2,66db656f851471fbbf89dccd,1182854 ALBERTA LTD. (AQUA BATH),HOOKCONTAINER,False,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
6380eae07571e116566417d2,67e1a6ae04006d46f5ba11c2,118 Morningside,DELIVERLOAD,True,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
6380eae07571e116566417d2,67104c9cd2510dd78bd2d70b,12425 66 St NW,DELIVERLOAD,True,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
6380eae07571e116566417d2,6761ab1262616e88c55ff2dc,125 The East Mall,DELIVERLOAD,False,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
6380eae07571e116566417d2,6761ab1262616e88c55ff2dc,125 The East Mall,DELIVERLOAD,True,91,91,91,91,91,91,91,103,91,83,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
6380eae07571e116566417d2,67ec314e72217ab42be76e7a,1272227 ONTARIO INC (CONFEDERATION FREEZERS),DELIVERLOAD,True,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
