carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
642ff788ed2ca515f99867eb,68ae0cfe35b849e4a23124fc,3920 Westpoint Blvd,DELIVERLOAD,True,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
642ff788ed2ca515f99867eb,68c839817c8d6b42cd681b7c,680 Warehouse,DELIVERLOAD,True,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
642ff788ed2ca515f99867eb,67a5264f1cd6c1f702333d8d,ABC SUPPLY COMPANY,DELIVERLOAD,False,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
642ff788ed2ca515f99867eb,683089d0e43a93ff059606e5,ACCENT WIRE,DELIVERLOAD,True,60,60,60,60,60,60,60,60,60,60,52,51,60,60,60,60,60,60,60,60,60,60,60,60,60
642ff788ed2ca515f99867eb,685aef8b9ac9b1bc2641f9a9,ACCENT WIRE,DELIVERLOAD,True,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
642ff788ed2ca515f99867eb,68652cc7c52e182b49aed0e7,AEROFOAM USA LLC,DELIVERLOAD,True,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
642ff788ed2ca515f99867eb,680a7de354a4969b932d7dc1,AFL TELECOMMUNICATIONS LLC,DELIVERLOAD,True,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
642ff788ed2ca515f99867eb,67a4b65ef37ff8e680245402,AFS NEWCO LLC,DELIVERLOAD,False,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
642ff788ed2ca515f99867eb,67a4b65ef37ff8e680245402,AFS NEWCO LLC,DELIVERLOAD,True,62,62,62,62,62,62,62,62,62,62,52,62,62,62,62,62,62,62,62,62,62,62,62,62,62
642ff788ed2ca515f99867eb,643ee94571f4da15f8d8f28d,AGCO- ELLABEL,DELIVERLOAD,False,15,15,15,15,15,15,15,15,13,53,15,15,6,15,15,15,15,15,15,15,15,15,15,15,15
642ff788ed2ca515f99867eb,643ee94571f4da15f8d8f28d,AGCO- ELLABEL,DELIVERLOAD,True,32,32,32,32,32,32,32,32,35,32,24,32,32,29,32,32,32,32,32,32,32,32,32,32,32
642ff788ed2ca515f99867eb,643ee94571f4da15f8d8f28d,AGCO- ELLABEL,HOOKCONTAINER,False,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
642ff788ed2ca515f99867eb,689c9558f966555fa9916173,Alcon UPS HealthCare,DELIVERLOAD,True,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
642ff788ed2ca515f99867eb,68010384b7d476c1748bb5cc,ALLIED PLASTICS,DELIVERLOAD,False,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
642ff788ed2ca515f99867eb,68010384b7d476c1748bb5cc,ALLIED PLASTICS,HOOKCONTAINER,False,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
642ff788ed2ca515f99867eb,68503672f611fea346be1817,Alma Pak INC,DELIVERLOAD,False,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
642ff788ed2ca515f99867eb,68503672f611fea346be1817,Alma Pak INC,DELIVERLOAD,True,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
642ff788ed2ca515f99867eb,64ae93f56b9449166eda72b6,American Fiber-Dixie,DELIVERLOAD,True,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
642ff788ed2ca515f99867eb,687798a7ee3c89136a3ba534,American Fixture Warehouse,DELIVERLOAD,True,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
642ff788ed2ca515f99867eb,68713b3059a70f964126f33c,American Food Services DBA Axionlog,DELIVERLOAD,False,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
642ff788ed2ca515f99867eb,68713b3059a70f964126f33c,American Food Services DBA Axionlog,DELIVERLOAD,True,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
642ff788ed2ca515f99867eb,67d1745976d437b68dcfeb0f,AMERICAN RACKING WHSE,DELIVERLOAD,False,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
642ff788ed2ca515f99867eb,685d9d2e28a196417655f6db,AMERICOLD DOUGLAS,DELIVERLOAD,True,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
642ff788ed2ca515f99867eb,681cad4fe903c5d5302f6be3,ANADOL RUG CO,DELIVERLOAD,True,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
642ff788ed2ca515f99867eb,663e3082b16058623df18af5,ANDROID INDUSTRIES,DELIVERLOAD,False,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
642ff788ed2ca515f99867eb,663e3082b16058623df18af5,ANDROID INDUSTRIES,DELIVERLOAD,True,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
642ff788ed2ca515f99867eb,68c7fdc3743743e784039528,ANYTHINGBEES LLC,DELIVERLOAD,True,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
642ff788ed2ca515f99867eb,66ba09e3af588d1ae09c726f,ARCO,DELIVERLOAD,True,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
642ff788ed2ca515f99867eb,6846c2ce987054f27160e25d,Arco Henderson,DELIVERLOAD,True,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
642ff788ed2ca515f99867eb,6862e7756904e6380943decf,"ARMSTRONG WORLD INDUSTRIES, INC",DELIVERLOAD,True,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
