carrier,customer_id,location,type,is_liveunload,waiting_time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
67acb4c537ed58f05643b26f,67f524ee577897788c6fe6fe,Aps C/O Performance - Compton - Compton,DELIVERLOAD,True,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
67acb4c537ed58f05643b26f,67f524f4a991e79d007c71c9,Bag Boy - Perris - Perris,DELIVERLOAD,True,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
67acb4c537ed58f05643b26f,67acb4cb37ed58f05643b530,BNSF COMMERCE WASHINGTON BLVD,PULLCONTAINER,False,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
67acb4c537ed58f05643b26f,67f524f7ffb3dc66fb706fd6,Bnsf - Hobart Yard - Commerce,PULLCONTAINER,False,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
67acb4c537ed58f05643b26f,67f524f7ffb3dc66fb706fd6,Bnsf - Hobart Yard - Commerce,RETURNCONTAINER,False,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
67acb4c537ed58f05643b26f,67acb4c937ed58f05643b464,BNSF SAN BERNARDINO,RETURNCONTAINER,False,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
67acb4c537ed58f05643b26f,67efeb7156ac037c0c77ea47,"Compton, CA (Branch 09021)",HOOKCONTAINER,False,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
67acb4c537ed58f05643b26f,67efeb7156ac037c0c77ea47,"Compton, CA (Branch 09021)",RETURNCONTAINER,False,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
67acb4c537ed58f05643b26f,67f52500ffb3dc66fb7070dc,Custom Goods - Jurupa Valley - Jurupa Valley,DELIVERLOAD,False,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
67acb4c537ed58f05643b26f,67f525035b2f18677c98696a,Eni Jr286 - Torrance,DELIVERLOAD,True,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
67acb4c537ed58f05643b26f,67acb4cd37ed58f05643b5a6,EVERPORT TERMINAL ISLAND,PULLCONTAINER,False,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
67acb4c537ed58f05643b26f,68421265c2348ef3e508ab58,Fender,DELIVERLOAD,False,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
67acb4c537ed58f05643b26f,67f52508a991e79d007c73c1,Fleet Yard Almeria - Fontana,PULLCONTAINER,False,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
67acb4c537ed58f05643b26f,67f52508a991e79d007c73c2,Fleet Yard U St - San Bernardino,PULLCONTAINER,False,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
67acb4c537ed58f05643b26f,67f5250affb3dc66fb7071ea,Goat Usa - Lynwood - Lynwood,DELIVERLOAD,True,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
67acb4c537ed58f05643b26f,67f5250c5b2f18677c986a61,Huffy Bicycles - Chino - Chino,DELIVERLOAD,True,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
67acb4c537ed58f05643b26f,67f5250f577897788c6fe8d9,Impex Chino Hills - Chino,DELIVERLOAD,True,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
67acb4c537ed58f05643b26f,67f5250f577897788c6fe8db,Impex Inc - Pomona - Pomona,DELIVERLOAD,False,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
67acb4c537ed58f05643b26f,680fc688c9908fa50dbe34f7,Kumho Warehouse- Rancho Cucamonga,DELIVERLOAD,False,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
67acb4c537ed58f05643b26f,680fc688c9908fa50dbe34f7,Kumho Warehouse- Rancho Cucamonga,DELIVERLOAD,True,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
67acb4c537ed58f05643b26f,680fc688c9908fa50dbe34f7,Kumho Warehouse- Rancho Cucamonga,HOOKCONTAINER,False,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
67acb4c537ed58f05643b26f,6813be2d7a36f63752cb259b,NACA-Compton,DELIVERLOAD,False,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
67acb4c537ed58f05643b26f,6813be2d7a36f63752cb259b,NACA-Compton,DELIVERLOAD,True,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
67acb4c537ed58f05643b26f,67f5251aa991e79d007c74eb,New Balance Athletics - Ontario - Ontario,DELIVERLOAD,True,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
67acb4c537ed58f05643b26f,67f5251cffb3dc66fb707401,Olympic Fleet Yard - Los Angeles,PULLCONTAINER,False,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
67acb4c537ed58f05643b26f,67acb4ce37ed58f05643b601,PCT,PULLCONTAINER,False,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
67acb4c537ed58f05643b26f,67acb4c837ed58f05643b410,PIER A,PULLCONTAINER,False,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
67acb4c537ed58f05643b26f,67efebc7718f0a509733de49,"Riverside, CA (Branch 09251)",HOOKCONTAINER,False,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
